id,name,age,city,income
147,Morticia,37,Akron,121170
148,Brianna,68,Cleveland,59838
149,Nathan,48,Toledo,31782
150,Brianna,56,Toledo,51486
151,Desdemona,71,Youngstown,65711
152,Terri,63,Columbus,79425
153,Morticia,85,Toledo,47372
154,Peter,71,Youngstown,115038
155,Peter,79,Youngstown,91106
156,Ryan,76,Toledo,33283
157,Bill,85,Toledo,91668
158,TJ,68,Akron,36029
159,Terri,31,Columbus,78195
160,Kylo,77,Cleveland,59723
161,Will,77,Columbus,71483
162,Leia,91,Cleveland,42420
163,Julianna,19,Akron,78270
164,Morticia,87,Akron,72219
165,Ryan,74,Dayton,83471
166,Galahad,63,Youngstown,93802
167,Beetlejuice,76,Akron,46038
168,Zoey,60,Toledo,30371
169,Julianna,52,Cincinnati,35662
170,Beetlejuice,64,Cleveland,87152
171,Steve,65,Akron,119765
172,Jeff,71,Dayton,50644
173,Becky,77,Cleveland,96813
174,Brianna,83,Columbus,45307
175,Terri,57,Youngstown,41887
176,Julianna,25,Akron,76334
177,Beetlejuice,29,Dayton,102138
178,Becky,45,Akron,58627
179,William,92,Akron,90501
180,Terry,80,Dayton,39296
181,Morticia,74,Dayton,60365
182,Tim,58,Columbus,109708
183,Matthew,83,Cincinnati,96355
184,Sarah,80,Youngstown,40220
185,Sarah,91,Cleveland,34435
186,Matthew,75,Akron,97659
187,Beetlejuice,80,Cincinnati,98933
188,Julianna,58,Columbus,111059
189,Admira,25,Dayton,33112
190,Beetlejuice,34,Akron,92262
191,Terri,49,Dayton,80338
192,William,55,Dayton,33487
193,Paige,73,Youngstown,44652
194,Zoey,38,Akron,83530
195,TJ,29,Toledo,59905
196,Desdemona,55,Cincinnati,82461
197,Steve,85,Columbus,54174
198,William,41,Toledo,101144
199,William,68,Dayton,101913
200,Leia,77,Dayton,49266
201,Vivian,43,Columbus,47163
202,Ishmael,27,Dayton,80810
203,TJ,66,Toledo,40871
204,Chris,35,Youngstown,80474
205,Leia,52,Akron,120984
206,Chris,36,Toledo,62828
207,Ishmael,36,Toledo,44527
208,Ishmael,74,Dayton,103085
209,Eric,78,Toledo,102610
210,Aaliyah,25,Akron,83235
211,Tim,66,Akron,72751
212,William,54,Dayton,71804
213,Jeff,64,Columbus,111784
214,Peter,51,Akron,66443
215,Morticia,75,Cleveland,46315
216,Karli,49,Cleveland,116841
217,Sarah,92,Cincinnati,99413
218,Terri,46,Youngstown,63295
219,William,43,Columbus,95509
220,Eric,88,Columbus,51040
221,Brianna,61,Cleveland,82005
222,Aaliyah,18,Dayton,89864
223,Karli,82,Cleveland,71634
224,Matthew,91,Cleveland,117680
225,Helena,61,Toledo,85881
226,Lin,71,Toledo,97743
227,Hector,44,Toledo,115931
228,Terri,37,Cincinnati,75835
229,Bill,33,Columbus,30545
230,Brianna,26,Cincinnati,56928
231,Leia,17,Cincinnati,62190
232,Peter,72,Dayton,54493
233,Leia,70,Akron,60574
234,Helena,29,Akron,59209
235,Vivian,53,Youngstown,109481
236,Sarah,74,Youngstown,59399
237,Peter,77,Youngstown,73155
238,TJ,39,Cleveland,62561
239,Chris,60,Akron,120687
240,Chris,42,Toledo,89390
241,Beetlejuice,60,Toledo,83648
242,Atticus,81,Columbus,66587
243,Terry,45,Cleveland,107986
244,Brianna,89,Youngstown,44261
245,Ryan,88,Cincinnati,81487
246,Leia,78,Toledo,58169
247,Julianna,30,Dayton,66903
248,Ryan,75,Cleveland,106045
249,Ishmael,74,Dayton,79308
250,Becky,56,Youngstown,56429
251,Paige,30,Dayton,49465
252,Becky,68,Columbus,74455
253,Galahad,89,Akron,39669
254,TJ,36,Cleveland,70530
255,Kylo,46,Youngstown,69525
256,Beetlejuice,28,Columbus,117610
257,Helena,27,Toledo,57576
258,Atticus,86,Columbus,63264
259,Kylo,48,Toledo,62593
260,Beetlejuice,78,Dayton,91302
261,Becky,36,Youngstown,38633
262,Karli,85,Dayton,52212
263,Kylo,45,Columbus,38156
264,Zoey,38,Youngstown,56376
265,Hector,70,Dayton,115387
266,Terri,20,Columbus,64423
267,Vivian,83,Akron,94831
268,Desdemona,60,Akron,111070
269,Ishmael,86,Cleveland,104825
270,Lin,65,Cleveland,117196
271,Galahad,58,Cleveland,100687
272,Peter,27,Akron,47703
273,Atticus,49,Cincinnati,119283
274,Sarah,65,Columbus,59041
275,Zoey,67,Cleveland,53592
276,Terry,84,Columbus,85134
277,Nathan,28,Cincinnati,119394
278,Admira,40,Akron,43271
279,Lin,21,Akron,60385
280,Brianna,66,Columbus,92347
281,Will,84,Columbus,70474
282,Becky,84,Youngstown,37428
283,Eric,76,Akron,84361
284,Becky,34,Cincinnati,68391
285,Jeff,90,Cincinnati,53560
286,Admira,57,Cincinnati,55104
287,Jeff,61,Cincinnati,55045
288,Beetlejuice,53,Cleveland,95083
289,Nathan,64,Dayton,75985
290,Lin,83,Cleveland,116890
291,Eric,88,Toledo,91162
292,Will,59,Columbus,72991
293,Kylo,46,Dayton,78392
294,Atticus,61,Cleveland,105596
295,Brianna,73,Cincinnati,107744
296,TJ,56,Youngstown,99284
297,Hector,35,Cleveland,120442
298,Desdemona,59,Akron,73659
299,Helena,70,Dayton,118145
300,Steve,86,Youngstown,113699
301,Nathan,35,Akron,78231
302,Becky,80,Cleveland,62118
303,Desdemona,75,Cincinnati,101811
304,Admira,86,Akron,38686
305,Terri,77,Cincinnati,84239
306,Chris,42,Cincinnati,43632
307,Desdemona,92,Columbus,86747
308,Helena,65,Akron,39940
309,Leia,79,Dayton,62967
310,Brianna,19,Columbus,97511
311,Galahad,89,Akron,34458
312,Ishmael,70,Toledo,120840
313,Jeff,40,Cleveland,112664
314,Lin,55,Akron,43572
315,Jen,48,Dayton,54364
316,Steve,43,Cincinnati,38635
317,Eric,82,Cleveland,68437
318,Will,49,Cleveland,99732
319,Ryan,76,Cincinnati,31393
320,Ishmael,31,Columbus,96303
321,Matthew,89,Dayton,107380
322,Becky,64,Youngstown,121137
323,TJ,31,Akron,31757
324,Bill,63,Youngstown,70749
325,Becky,27,Dayton,88389
326,Will,80,Youngstown,77812
327,Beetlejuice,66,Columbus,44600
328,Terry,66,Cincinnati,66003
329,Ishmael,37,Toledo,60743
330,Becky,20,Akron,77893
331,Bill,35,Cleveland,58572
332,Zoey,74,Youngstown,54603
333,Tim,18,Cincinnati,80985
334,Ishmael,32,Columbus,73892
335,Admira,31,Youngstown,85604
336,Galahad,31,Youngstown,65465
337,Jen,65,Cincinnati,73585
338,Steve,47,Cleveland,39695
339,Sarah,68,Toledo,105564
340,William,36,Akron,40017
341,Morticia,41,Akron,82702
342,Atticus,78,Toledo,40427
343,Eric,78,Cleveland,110498
344,Matthew,34,Cincinnati,57380
345,Nathan,23,Youngstown,70829
346,Vivian,23,Youngstown,83310
347,Desdemona,91,Dayton,68312
348,Jen,79,Cincinnati,92823
349,Lin,38,Youngstown,105019
350,Morticia,51,Youngstown,63458
351,Chris,55,Youngstown,89226
352,Kylo,17,Cleveland,49332
353,Steve,27,Columbus,61604
354,Becky,63,Cleveland,119357
355,William,57,Columbus,83120
356,Zoey,36,Dayton,69845
357,Galahad,83,Dayton,62831
358,Ryan,90,Akron,93833
359,Terri,76,Cincinnati,107279
360,Eric,27,Toledo,101312
361,Galahad,74,Youngstown,83687
362,Tim,45,Dayton,30175
363,Hector,24,Cincinnati,43139
364,Admira,63,Toledo,108910
365,Chris,19,Youngstown,110638
366,Ishmael,79,Youngstown,98910
367,Admira,32,Akron,105585
368,Atticus,59,Akron,101849
369,Bill,83,Dayton,121915
370,Terry,31,Cleveland,31121
371,Lin,45,Youngstown,40475
372,Morticia,48,Cleveland,95664
373,Terri,71,Youngstown,58444
374,Brianna,51,Akron,101541
375,Terry,32,Akron,106458
376,Steve,22,Cleveland,76245
377,Lin,55,Dayton,52435
378,Ishmael,33,Cincinnati,85914
379,Eric,88,Youngstown,88821
380,Julianna,28,Cleveland,80234
381,Jeff,27,Toledo,91867
382,Admira,88,Toledo,89891
383,Kylo,91,Cincinnati,121452
384,Steve,68,Youngstown,72215
385,Bill,48,Cleveland,84065
386,Brianna,34,Akron,30743
387,Leia,17,Columbus,59332
388,Will,16,Toledo,77195
389,Peter,92,Youngstown,39150
390,Lin,81,Dayton,78384
391,TJ,21,Columbus,47609
392,TJ,23,Columbus,60440
393,Will,79,Cleveland,98042
394,Matthew,89,Youngstown,66170
395,Steve,60,Cincinnati,60507
396,Jen,52,Dayton,78510
397,Leia,81,Dayton,54624
398,Brianna,62,Youngstown,51210
399,Julianna,91,Columbus,80882
400,Becky,27,Dayton,43152
401,Beetlejuice,71,Cincinnati,90783
402,Terry,82,Toledo,69708
403,Leia,49,Youngstown,111056
404,Zoey,77,Cleveland,49214
405,Jeff,21,Akron,119020
406,Eric,67,Dayton,97180
407,Hector,31,Cleveland,85122
408,Terri,88,Toledo,39764
409,TJ,60,Toledo,80178
410,Peter,40,Columbus,61435
411,Jeff,43,Cincinnati,66293
412,Becky,65,Columbus,48604
413,Lin,88,Cincinnati,54384
414,Sarah,77,Youngstown,57645
415,Ryan,64,Cleveland,88053
416,Eric,52,Cleveland,47814
417,Peter,52,Cincinnati,83450
418,Eric,84,Toledo,56242
419,Jen,88,Dayton,92829
420,Kylo,24,Akron,42917
421,Sarah,36,Youngstown,86700
422,Vivian,90,Dayton,34285
423,TJ,23,Akron,52080
424,Beetlejuice,27,Youngstown,121715
425,Leia,44,Akron,42203
426,Becky,54,Cleveland,45216
427,William,58,Akron,44021
428,Chris,65,Columbus,40133
429,Ryan,35,Akron,93418
430,Steve,58,Cincinnati,80575
431,Kylo,82,Cincinnati,112893
432,Tim,48,Toledo,61639
433,Peter,82,Cincinnati,56246
434,Kylo,92,Toledo,113985
435,Matthew,50,Toledo,111351
436,Aaliyah,89,Columbus,111102
437,Lin,69,Cleveland,40469
438,Galahad,82,Columbus,44454
439,Kylo,38,Columbus,100156
440,Kylo,58,Columbus,38293
441,Admira,77,Columbus,104434
442,Zoey,22,Cleveland,92042
443,Admira,51,Cincinnati,44653
444,Will,33,Toledo,95746
445,Jeff,38,Dayton,95745
446,Tim,38,Cincinnati,63608
447,Helena,76,Columbus,96802
448,Bill,26,Youngstown,97047
449,Julianna,80,Youngstown,37749
450,Peter,48,Toledo,69075
451,Jeff,31,Cleveland,107348
452,Vivian,74,Columbus,90180
453,Becky,66,Cleveland,86344
454,Desdemona,64,Dayton,73163
455,Zoey,25,Youngstown,92820
456,Karli,46,Akron,35679
457,Eric,91,Akron,48889
458,Ryan,30,Cincinnati,121920
459,Paige,53,Akron,79664
460,Desdemona,75,Columbus,83661
461,Hector,53,Toledo,49578
462,Jeff,76,Akron,118559
463,Admira,66,Cleveland,34044
464,Kylo,53,Dayton,82263
465,Jeff,75,Akron,98553
466,Terri,51,Youngstown,49305
467,Julianna,63,Akron,48965
468,Julianna,33,Toledo,51019
469,Morticia,60,Cleveland,114938
470,Admira,41,Cincinnati,54754
471,Matthew,31,Dayton,105925
472,Desdemona,78,Youngstown,52201
473,Will,26,Toledo,116123
474,TJ,56,Akron,62549
475,Chris,66,Cleveland,37801
476,Steve,72,Cincinnati,32851
477,Terry,27,Toledo,105463
478,Lin,56,Dayton,91173
479,Bill,61,Columbus,100201
480,Ryan,39,Dayton,97036
481,Tim,47,Cleveland,58954
482,Matthew,31,Dayton,62588
483,Hector,29,Youngstown,79864
484,TJ,28,Cincinnati,80634
485,Lin,57,Columbus,118393
486,Becky,65,Youngstown,108564
487,Atticus,92,Toledo,53143
488,Nathan,18,Akron,77869
489,Jen,62,Dayton,30509
490,Ryan,40,Dayton,84826
491,Kylo,20,Cincinnati,111085
492,Steve,55,Dayton,31708
493,Lin,65,Youngstown,94123
494,Julianna,64,Akron,40018
495,Beetlejuice,31,Youngstown,116618
496,Desdemona,62,Cincinnati,37566
497,Lin,76,Toledo,61004
498,Desdemona,86,Columbus,45237
499,Terry,62,Akron,54660
500,Julianna,40,Cincinnati,118253
501,Peter,41,Cleveland,109987
502,Morticia,30,Dayton,109306
503,Terri,75,Cincinnati,35963
504,Eric,17,Youngstown,101571
505,Will,30,Dayton,82640
506,Steve,86,Cincinnati,66471
507,Nathan,26,Akron,43440
508,Matthew,45,Cincinnati,32292
509,Terry,48,Cincinnati,52462
510,Morticia,79,Cincinnati,57444
511,Paige,92,Toledo,46010
512,Will,45,Cincinnati,113986
513,Chris,75,Cincinnati,109833
514,Bill,90,Dayton,44092
515,Bill,36,Cleveland,80825
516,Eric,61,Youngstown,119009
517,Atticus,58,Cincinnati,77414
518,Julianna,58,Dayton,73975
519,Steve,88,Toledo,37242
520,Peter,77,Cleveland,116081
521,Ishmael,39,Cincinnati,105225
522,Galahad,35,Dayton,106989
523,Ryan,92,Cincinnati,67536
524,Steve,30,Cleveland,57779
525,Terri,25,Dayton,52604
526,Leia,90,Akron,56144
527,Beetlejuice,36,Akron,106721
528,Eric,77,Akron,37253
529,William,60,Toledo,32115
530,Brianna,16,Cleveland,98002
531,Ishmael,79,Dayton,55174
532,William,76,Cincinnati,106965
533,Beetlejuice,72,Youngstown,61426
534,Leia,28,Youngstown,81412
535,Kylo,86,Columbus,97967
536,Brianna,75,Dayton,103894
537,Bill,87,Youngstown,111438
538,Tim,73,Columbus,105660
539,Helena,37,Dayton,48821
540,Hector,85,Cincinnati,87605
541,Vivian,62,Toledo,81147
542,Terri,22,Dayton,55299
543,Vivian,29,Akron,119982
544,Julianna,57,Cleveland,116568
545,Beetlejuice,36,Cleveland,75995
546,Becky,45,Columbus,50076
547,William,49,Toledo,67382
548,Terri,44,Dayton,31304
549,Paige,17,Akron,98785
550,Leia,22,Columbus,78989
551,Lin,79,Cincinnati,56522
552,TJ,54,Cleveland,67734
553,Helena,82,Cincinnati,56299
554,Jeff,78,Youngstown,68943
555,Terry,17,Cincinnati,47534
556,Brianna,47,Dayton,105240
557,Morticia,71,Cincinnati,75703
558,Lin,79,Columbus,112856
559,Ishmael,57,Youngstown,111630
560,Peter,88,Youngstown,36892
561,Aaliyah,44,Cleveland,88653
562,Becky,85,Columbus,81191
563,Vivian,44,Columbus,115785
564,Desdemona,85,Youngstown,118455
565,Hector,27,Cincinnati,39888
566,Terri,57,Columbus,44164
567,Matthew,63,Columbus,90078
568,Brianna,44,Cleveland,80062
569,Will,26,Akron,62489
570,Will,60,Cleveland,120419
571,Kylo,90,Akron,91721
572,Terri,59,Columbus,58960
573,Terry,72,Cleveland,40763
574,Eric,71,Toledo,78374
575,Helena,71,Youngstown,57210
576,Jen,62,Dayton,85671
577,Tim,23,Toledo,61217
578,Becky,35,Dayton,60715
579,Brianna,38,Cincinnati,35387
580,Matthew,17,Cleveland,88965
581,Paige,30,Youngstown,40022
582,Peter,20,Cleveland,49796
583,Ryan,80,Cincinnati,92169
584,Zoey,38,Columbus,74454
585,William,66,Akron,99576
586,Matthew,31,Cleveland,39965
587,Ryan,20,Dayton,88633
588,Ishmael,57,Akron,79993
589,Aaliyah,31,Youngstown,47829
590,Zoey,61,Cleveland,87723
591,Karli,87,Columbus,99248
592,Chris,45,Akron,68828
593,Chris,69,Cleveland,77033
594,Admira,41,Cincinnati,59605
595,Atticus,39,Toledo,44011
596,Bill,21,Youngstown,120545
597,Chris,89,Dayton,87201
598,Will,41,Akron,60595
599,Kylo,61,Columbus,51993
600,Ishmael,51,Cincinnati,77121
601,Vivian,62,Dayton,117140
602,Karli,67,Youngstown,79851
603,Morticia,53,Cleveland,45347
604,Vivian,52,Youngstown,58713
605,Eric,51,Cleveland,119770
606,Nathan,91,Cleveland,87737
607,Lin,18,Toledo,55266
608,Terri,55,Toledo,84190
609,Nathan,81,Akron,36514
610,Ryan,71,Toledo,71839
611,Karli,20,Columbus,112404
612,Galahad,41,Akron,50661
613,Bill,83,Cincinnati,36680
614,William,64,Toledo,111021
615,Karli,85,Youngstown,114153
616,Steve,57,Youngstown,83796
617,Will,83,Dayton,118275
618,Admira,51,Dayton,66930
619,Helena,81,Toledo,35932
620,Paige,75,Youngstown,30795
621,Hector,34,Youngstown,66235
622,Matthew,66,Youngstown,91651
623,Helena,64,Toledo,117521
624,Ishmael,58,Akron,46110
625,Ishmael,54,Cincinnati,76008
626,Helena,86,Cincinnati,57504
627,Paige,16,Cincinnati,94598
628,Nathan,40,Cleveland,64908
629,Beetlejuice,39,Cleveland,56911
630,Ryan,23,Cincinnati,89569
631,Hector,38,Cleveland,99945
632,Atticus,52,Columbus,83372
633,Julianna,52,Dayton,112755
634,Terri,20,Youngstown,38363
635,Eric,51,Akron,61401
636,Eric,85,Akron,95421
637,Morticia,19,Toledo,120095
638,William,21,Dayton,113339
639,William,49,Columbus,78504
640,Kylo,26,Akron,91875
641,Chris,37,Youngstown,76078
642,Terry,25,Youngstown,39244
643,Leia,36,Cleveland,57697
644,Beetlejuice,88,Youngstown,106963
645,Leia,78,Columbus,60574
646,Vivian,61,Akron,120983
647,Matthew,54,Dayton,81980
648,Ryan,81,Dayton,110723
649,Ishmael,28,Toledo,105764
650,Julianna,77,Dayton,44203
651,Chris,16,Akron,70705
652,Admira,56,Cleveland,79106
653,Aaliyah,75,Cincinnati,112181
654,Paige,37,Cleveland,32024
655,Julianna,91,Columbus,80188
656,Morticia,52,Youngstown,60259
657,Becky,57,Cleveland,102041
658,Morticia,21,Akron,50023
659,Will,25,Dayton,115882
660,Helena,47,Cincinnati,52211
661,Atticus,81,Akron,106292
662,Terry,85,Youngstown,58556
663,Brianna,32,Cincinnati,95334
664,Terry,40,Akron,65637
665,Sarah,42,Columbus,101517
666,Will,57,Columbus,113786
667,Steve,42,Dayton,43287
668,Desdemona,39,Columbus,48073
669,TJ,49,Columbus,43013
670,Eric,22,Akron,117114
671,Admira,69,Cleveland,92513
672,Eric,77,Toledo,35822
673,Morticia,89,Columbus,89245
674,Vivian,31,Toledo,109385
675,Tim,88,Cleveland,109283
676,Vivian,54,Cincinnati,71060
677,TJ,73,Cleveland,39904
678,Vivian,75,Youngstown,94164
679,Morticia,27,Akron,104393
680,Peter,52,Dayton,64823
681,Ishmael,33,Toledo,53971
682,Helena,18,Toledo,68820
683,Karli,85,Toledo,69893
684,Sarah,30,Columbus,75011
685,Ishmael,86,Cleveland,44172
686,Ryan,32,Dayton,49495
687,Eric,80,Columbus,98526
688,TJ,57,Toledo,59120
689,Paige,36,Akron,88259
690,Vivian,62,Dayton,63830
691,Terry,84,Cincinnati,44509
692,Nathan,20,Akron,108400
693,Tim,62,Dayton,77000
694,Leia,62,Dayton,92918
695,Steve,61,Akron,51861
696,Terri,46,Akron,67630
697,Beetlejuice,50,Akron,107923
698,Jeff,33,Cincinnati,59654
699,Brianna,82,Akron,39051
700,Atticus,77,Cleveland,38148
701,Zoey,73,Youngstown,103655
702,Becky,38,Dayton,60223
703,William,36,Columbus,54687
704,Peter,17,Youngstown,101534
705,Nathan,43,Dayton,58500
706,Ishmael,33,Cleveland,108726
707,Steve,73,Dayton,110540
708,TJ,61,Columbus,33171
709,Matthew,50,Cleveland,90177
710,Will,24,Akron,44473
711,Morticia,84,Columbus,48042
712,Tim,16,Dayton,110542
713,Ryan,29,Dayton,100289
714,Kylo,80,Akron,65485
715,Becky,92,Toledo,46085
716,Kylo,65,Cleveland,61272
717,Becky,41,Cincinnati,44639
718,Ishmael,43,Akron,100042
719,Ishmael,74,Toledo,32146
720,Zoey,21,Cincinnati,58754
721,Ryan,38,Cleveland,35014
722,Matthew,88,Dayton,67320
723,Ishmael,64,Columbus,110804
724,Hector,61,Cleveland,41299
725,Hector,41,Cincinnati,82872
726,Jeff,48,Youngstown,90293
727,Bill,48,Toledo,85131
728,Terri,78,Dayton,102654
729,Jen,45,Columbus,116108
730,Tim,51,Youngstown,48938
731,Kylo,73,Cincinnati,39098
732,Kylo,28,Youngstown,53957
733,Becky,26,Dayton,108741
734,Nathan,47,Toledo,81373
735,Eric,55,Toledo,106926
736,Lin,44,Youngstown,107396
737,Chris,48,Cleveland,121193
738,Becky,89,Cleveland,102821
739,Terri,79,Cleveland,115180
740,Steve,16,Cleveland,37908
741,Eric,49,Columbus,86310
742,Beetlejuice,18,Dayton,107323
743,Paige,32,Columbus,65864
744,Helena,52,Akron,92554
745,Leia,18,Columbus,42686
746,Julianna,79,Dayton,121697
747,Peter,45,Columbus,111687
748,Terry,43,Cleveland,115845
749,TJ,37,Cincinnati,58358
750,Morticia,79,Youngstown,67747
751,Nathan,73,Akron,113176
752,Morticia,86,Youngstown,67651
753,Atticus,57,Cincinnati,113372
754,Kylo,16,Cincinnati,107639
755,Chris,36,Akron,88386
756,Atticus,23,Dayton,58006
757,Will,72,Cincinnati,100450
758,Bill,92,Cincinnati,69537
759,Paige,19,Columbus,90090
760,Becky,88,Toledo,45637
761,Terri,58,Dayton,53306
762,William,69,Dayton,66651
763,Bill,77,Youngstown,91279
764,Leia,74,Akron,103576
765,Atticus,21,Cleveland,61143
766,Brianna,17,Toledo,104809
767,Vivian,20,Cincinnati,69611
768,Morticia,73,Cincinnati,54044
769,Beetlejuice,83,Youngstown,118155
770,Jeff,77,Youngstown,86948
771,Jeff,26,Cleveland,68416
772,Becky,43,Dayton,109692
773,Terry,61,Cincinnati,106509
774,Aaliyah,77,Cleveland,78355
775,Kylo,26,Dayton,30334
776,Bill,46,Youngstown,105106
777,Admira,27,Cleveland,114715
778,Desdemona,79,Youngstown,77823
779,Brianna,42,Cleveland,87756
780,Helena,62,Dayton,111899
781,Desdemona,80,Toledo,33574
782,Ishmael,26,Columbus,92260
783,Steve,30,Dayton,97415
784,Ishmael,56,Youngstown,69950
785,Ryan,45,Cincinnati,58396
786,Helena,84,Columbus,108242
787,Becky,77,Columbus,115275
788,Zoey,32,Cleveland,76189
789,Paige,83,Dayton,78051
790,Admira,91,Cleveland,91179
791,Jen,73,Akron,49646
792,Lin,45,Youngstown,51024
793,Will,39,Columbus,120055
794,Paige,35,Akron,63676
795,Admira,53,Youngstown,114478
796,Galahad,86,Columbus,32946
797,Zoey,91,Dayton,33644
798,Lin,69,Youngstown,78931
799,Julianna,80,Toledo,37379
800,Jen,53,Cleveland,34512
801,Admira,34,Columbus,64990
802,Leia,34,Cleveland,99047
803,Hector,47,Toledo,76173
804,Desdemona,43,Columbus,38013
805,Zoey,89,Youngstown,79410
806,Terry,76,Akron,64862
807,TJ,91,Dayton,38492
808,Lin,28,Akron,119579
809,Jeff,23,Cincinnati,89642
810,Julianna,21,Dayton,73186
811,Helena,24,Akron,98853
812,Jen,52,Dayton,42041
813,Kylo,62,Cleveland,71055
814,Atticus,42,Cincinnati,117887
815,Admira,71,Cleveland,53676
816,Hector,22,Cincinnati,105428
817,Tim,91,Toledo,75399
818,Helena,64,Cincinnati,53108
819,Hector,70,Columbus,71702
820,Vivian,25,Youngstown,78858
821,Becky,69,Cleveland,107133
822,TJ,20,Akron,39173
823,Jeff,50,Cincinnati,105049
